module_name	Code	Compound	Type	Function	Definition
D-apiose degradation II (to D-apionate)	F18	D-Apiose	Degradation	Sugar degradation	1.1.1.420 3.1.1.115
D-arabinose degradation I	F19	D-Arabinose	Degradation	Sugar degradation	5.3.1.3 2.7.1.47
D-arabinose degradation II	F20	D-Arabinose	Degradation	Sugar degradation	5.3.1.3 2.7.1.51 4.1.2.17 1.2.1.21
D-arabinose degradation III	F21	D-Arabinose	Degradation	Sugar degradation	1.1.1.427 3.1.1.30 4.2.1.5 4.2.1.141 1.2.1.26
D-arabinose degradation IV	F22	D-Arabinose	Degradation	Sugar degradation	1.1.1.427 3.1.1.30 4.2.1.5 1.1.1.M68 3.7.1.26
D-mannose degradation I	F23	D-Mannose	Degradation	Sugar degradation	2.7.1.191 5.3.1.8
D-mannose degradation II	F24	D-Mannose	Degradation	Sugar degradation	2.7.1.7 5.3.1.8
D-xylose degradation I	F25	D-Xylose	Degradation	Sugar degradation	5.3.1.5 2.7.1.17
D-xylose degradation II	F26	D-Xylose	Degradation	Sugar degradation	1.1.1.et 1.1.1.9 2.7.1.17
D-xylose degradation III	F27	D-Xylose	Degradation	Sugar degradation	1.1.1.424 3.1.1.68 4.2.1.82 4.2.1.141 1.2.1.26
D-xylose degradation IV	F28	D-Xylose	Degradation	Sugar degradation	1.1.1.359 3.1.1.110 4.2.1.82 4.1.2.28 1.1.1.26 2.3.3.9
D-xylose degradation V	F29	D-Xylose	Degradation	Sugar degradation	1.1.1.175 3.1.1.110 4.2.1.82 4.2.1.1.141 1.2.1.26
D-xylose degradation VI	F30	D-Xylose	Degradation	Sugar degradation	1.1.1.424 3.1.1.58 4.2.1.82 1.1.1.M68 3.7.1.26
L-fucose degradation I	F31	L-Fucose	Degradation	Sugar degradation	5.1.3.29 5.3.1.25 2.7.1.51 4.1.2.17
L-fucose degradation II	F32	L-Fucose	Degradation	Sugar degradation	5.1.3.29 4.2.1.68 1.1.1.M68 3.7.1.26
L-rhamnose degradation I	F33	L-Rhamnose	Degradation	Sugar degradation	5.1.3.32 5.3.1.14 2.7.1.5 4.1.2.19
L-rhamnose degradation II	F34	L-Rhamnose	Degradation	Sugar degradation	(1.1.1.173,1.1.1.378) 3.1.1.65 4.2.1.90 4.1.2.53
L-rhamnose degradation III	F35	L-Rhamnose	Degradation	Sugar degradation	(1.1.1.173,1.1.1.378) 3.1.1.65 4.2.1.90 1.1.1.401 3.7.1.26
Hydrolysis of long-chain triglyceride	F36	Triglyceride	Degradation	Lipid degradation	(K01046,K12298,K16816,K13534,K14073,K14074,K14075,K14076,K22283,K14452,K22284,K14674,K14675,K17900) (K01054,K25824)
Digestion of fatty acids	F37	Fatty acid	Degradation	Lipid degradation	(K01897,K15013) (K00232,K00249,K00255,K06445,K09479) (((K01692,K07511,K13767) (K00022,K07516)),K01825,K01782,K07514,K07515,K10527) (K00632,K07508,K07509,K07513)
endopeptidases	F38	Peptides	Degradation	Protein degradation	C11A C110 C13 C25 C45 C55 C56 C66 C96 M04 M05 M06 M07 M08 M11 M34 M35 M50B M50A M64 M72 M73 M74 M75 N06 S13 S41B S41A S48 S59 S63 S68 S70 S72 T06 U72 A03B A03A A11B A11A A22B A22A C01B C01A C04 C06 C08 C09 C104 C105 C107 C14B C14A C16B C16A C18 C21 C23 C24 C27 C28 C31 C33 C37 C39 C42 C62 G02 M10C M10B M10A M12C M12B M12A M13 M16C M16B M16A M27 M41 M43B M43A M44 M48C M48B M48A M56 M60 M78 M79 N01 N02 N05 N07 N08 S01F S01E S01D S01C S01B S01A S03 S06 S07 S08C S08B S08A S21 S26C S26B S26A S31 S32 S50 S53 S54 S62 S69 S73 S74 S77 U40
omega-peptidases	F39	Peptides	Degradation	Protein degradation	M38
exopeptidases	F40	Peptides	Degradation	Protein degradation	M02 C01B C01A
aminopeptidases	F41	Peptides	Degradation	Protein degradation	C69 M18 M20E M20A M20D M20F M20B M20C M42 S33 T03
carboxypeptidases	F42	Peptides	Degradation	Protein degradation	M28F M28E M28D M28C M28B M28A M32 S13 S66 M14C M14D M14B M14A M15D M15C M15B M15A M20E M20A M20D M20F M20B M20C S11 S12
dipeptidyl-peptidases	F43	Peptides	Degradation	Protein degradation	S15
tripeptidyl-peptidases	F44	Peptides	Degradation	Protein degradation	M49 S41B S41A M20B M79 S53
dipeptidases	F45	Peptides	Degradation	Protein degradation	M15D M15C M15B M15A M20E M20A M20D M20F M20B M20C
Mucin Cleavage	F46	Mucin	Degradation	Mucin degradation	3.2.1.97 (3.2.1.22,3.2.1.49,3.2.1.94,3.2.1.88) 3.2.1.49 (2.4.1.211,2.4.1.247) (3.2.1.20,3.2.1.22,3.2.1.24,3.2.1.84,3.2.1.48,3.2.1.10,3.2.1.177,4.2.2.13,2.4.1.161) (3.2.1.22,3.2.1.49,2.4.1.67,2.4.1.82)
N-acetylglucosamine degradation	F47	GlcNAc	Degradation	Mucin degradation	2.7.1.59 3.5.1.25 3.5.99.6
Galactose degradation	F48	Galactose	Degradation	Mucin degradation	K01785 K00849 K00965 K01784
N-acetylneuraminate degradation II	F49	NeuAc	Degradation	Mucin degradation	4.1.3.3 5.1.3.8
N-acetylneuraminate degradation I	F50	NeuAc	Degradation	Mucin degradation	4.1.3.3 2.7.1.60 5.1.3.9
Fucose Cleavage	F51	Fucose	Degradation	Mucin degradation	3.2.1.212 3.2.1.38 (3.2.1.51,3.2.1.8) (3.2.1.111,3.2.1.63,3.2.1.127)
Acetate	F52	Acetate	Production	SCFA production	(K00625,K13788,K15024) K00925
Acetate	F53	Acetate	Production	SCFA production	K01905
Acetate	F54	Acetate	Production	SCFA production	K01067
Acetate	F55	Acetate	Production	SCFA production	5.4.3.2 5.4.3.3 1.4.1.11 2.3.1.247 1.3.1.109 2.8.3.9 (2.3.1.9,2.3.1.16) 2.3.1.8 (2.7.2.1,2.7.2.15)
Pyruvate fermentation to acetate	F56	Acetate	Production	SCFA production	(1.2.7.1,1.2.1.104) 2.3.1.8 (2.7.2.1,2.7.2.15)
Butyrate	F57	Butyrate	Production	SCFA production	1.2.7.1 (2.3.1.9,2.3.1.16) 1.1.1.35 4.2.1.150 1.3.1.109 2.3.1.19 (2.7.2.7,2.7.2.14)
Butyrate	F58	Butyrate	Production	SCFA production	2.3.1.8 (2.7.2.1,2.7.2.15) (2.8.3.1,2.8.3.8)
Butyrate	F59	Butyrate	Production	SCFA production	(2.3.1.9,2.3.1.16) 1.1.1.36 4.2.1.55 1.3.1.109 (2.8.3.1,2.8.3.8)
Butyrate	F60	Butyrate	Production	SCFA production	1.4.1.2 1.1.1.399 2.8.3.12 4.2.1.167 7.2.4.5 1.3.1.109 (2.8.3.1,2.8.3.8)
Butyrate	F61	Butyrate	Production	SCFA production	5.4.3.2 5.4.3.3 1.4.1.11 2.3.1.247 1.3.1.109 2.8.3.9
Butyrate	F62	Butyrate	Production	SCFA production	2.8.3.18 1.2.1.76 1.1.1.61 2.8.3.M6 4.2.1.120 1.3.1.109 (2.8.3.1,2.8.3.8)
L-glutamate degradation V (via hydroxyglutarate)	F63	Butyrate	Production	SCFA production	1.4.1.2 1.1.1.399 2.8.3.12 4.2.1.167 7.2.4.5 1.3.1.109 (2.8.3.1,2.8.3.8)
Propionate	F64	Propionate	Production	SCFA production	(4.2.1.28,1.1.1.1) 1.2.1.87 2.3.1.222 (2.7.2.1,2.7.2.7,2.7.2.14,2.7.2.15)
Propionate	F65	Propionate	Production	SCFA production	4.3.1.19 2.3.1.222 (2.7.2.1,2.7.2.7,2.7.2.14,2.7.2.15)
Conversion of succinate to propionate	F66	Propionate	Production	SCFA production	5.4.99.2 4.1.1.M5 2.8.3.27
Pyruvate fermentation to propanoate	F67	Propionate	Production	SCFA production	2.1.3.1 1.1.1.37 4.2.1.2 1.3.5.1 2.8.3.27
Pyruvate fermentation to propanoate II (acrylate pathway)	F68	Propionate	Production	SCFA production	2.8.3.1 4.2.1.54 1.3.1.95 2.8.3.1
Pyruvate fermentation to L-lactate	F69	L-lactate	Production	Organic anion production	1.1.1.27
L-rhamnose degradation II	F70	L-lactate	Production	Organic anion production	1.1.1.22
Pyruvate fermentation to D-lactate	F71	D-lactate	Production	Organic anion production	1.1.1.28
Succinate	F72	Succinate	Production	Organic anion production	(K01647,K05942) (K01681,K01682) (K00031,K00030) ((((K00164+K00658),K01616)+K00382),(K00174+K00175)) ((K01902+K01903),(K01899+K01900),K18118) ((K00234+K00235+K00236+(K00237,K25801)),(K00239+K00240+K00241),(K00244+K00245+K00246)) (K01676,K01679,(K01677+K01678)) (K00026,K00025,K00024,K00116)
Succinate	F73	Succinate	Production	Organic anion production	((((K00164+K00658),K01616)+K00382),K00174) ((K01902+K01903),(K01899+K01900),K18118) ((K00234+K00235+K00236+(K00237,K25801)),(K00239+K00240+K00241),(K00244+K00245+K00246)) (K01676,K01679,(K01677+K01678)) (K00026,K00025,K00024,K00116)
Succinate	F74	Succinate	Production	Organic anion production	K01580 (K13524,K07250,K00823,K16871) (K00135,K00139,K17761)
Succinate	F75	Succinate	Production	Organic anion production	(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861) K14534 K15016 K00626
Succinate	F76	Succinate	Production	Organic anion production	(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,(K01848+K01849)) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709
Succinate	F77	Succinate	Production	Organic anion production	(K00169+K00170+K00171+K00172) (K01959+K01960) K00024 (K01677+K01678) (K18209+K18210) (K01902+K01903) (K00174+K00175+K00176+K00177)
Fumarate	F78	Fumarate	Production	Organic anion production	(K01647,K05942) (K01681,K01682) (K00031,K00030) ((((K00164+K00658),K01616)+K00382),(K00174+K00175)) ((K01902+K01903),(K01899+K01900),K18118) ((K00234+K00235+K00236+(K00237,K25801)),(K00239+K00240+K00241),(K00244+K00245+K00246)) (K01676,K01679,(K01677+K01678)) (K00026,K00025,K00024,K00116)
Fumarate	F79	Fumarate	Production	Organic anion production	((((K00164+K00658),K01616)+K00382),K00174) ((K01902+K01903),(K01899+K01900),K18118) ((K00234+K00235+K00236+(K00237,K25801)),(K00239+K00240+K00241),(K00244+K00245+K00246)) (K01676,K01679,(K01677+K01678)) (K00026,K00025,K00024,K00116)
Fumarate	F80	Fumarate	Production	Organic anion production	K01948 K00611 K01940 (K01755,K14681) K01476
Fumarate	F81	Fumarate	Production	Organic anion production	(K00815,K00838,K00832,K03334) K00457 K00451 K01800 (K01555,K16171)
Fumarate	F82	Fumarate	Production	Organic anion production	K00241+(K00242,K18859,K18860)+K00239+K00240
Fumarate	F83	Fumarate	Production	Organic anion production	K00244+K00245+K00246+K00247
Fumarate	F84	Fumarate	Production	Organic anion production	(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861) K14534 K15016 K00626
Fumarate	F85	Fumarate	Production	Organic anion production	(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,(K01848+K01849)) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709
Fumarate	F86	Fumarate	Production	Organic anion production	(K00169+K00170+K00171+K00172) (K01959+K01960) K00024 (K01677+K01678) (K18209+K18210) (K01902+K01903) (K00174+K00175+K00176+K00177)
Fumarate	F87	Fumarate	Production	Organic anion production	(K18029+K18030) K14974 K18028 K15357 K13995 K01799
Fumarate	F88	Fumarate	Production	Organic anion production	K00611 K01940 (K01755,K14681)
Fumarate	F89	Fumarate	Production	Organic anion production	K22478 K00145 K00821 K09065 K01438 K01940 K01755
Citrate	F90	Citrate	Production	Organic anion production	(K01647,K05942) (K01681,K01682) (K00031,K00030) ((((K00164+K00658),K01616)+K00382),(K00174+K00175)) ((K01902+K01903),(K01899+K01900),K18118) ((K00234+K00235+K00236+(K00237,K25801)),(K00239+K00240+K00241),(K00244+K00245+K00246)) (K01676,K01679,(K01677+K01678)) (K00026,K00025,K00024,K00116)
Citrate	F91	Citrate	Production	Organic anion production	(K01647,K05942) (K01681,K01682) (K00031,K00030)
Citrate	F92	Citrate	Production	Organic anion production	K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)
Citrate	F93	Citrate	Production	Organic anion production	K01647 K01681 K00031 K00261 (K19268+K01846) K04835 K19280 K14449 K19281 K19282 K00024
Ursodeoxycholate (UDCA)	F94	UDCA	Production	Secondary bile acid production	1.1.1.159 1.1.1.201
Deoxycholate (DCA)	F95	DCA	Production	Secondary bile acid production	(3.5.1.24,3.5.1.74) 6.2.1.7 1.1.1.395 1.3.1.115 2.8.3.25 4.2.1.106 1.3.1.114 1.1.152
Lithocholate (LCA)	F96	LCA	Production	Secondary bile acid production	(3.5.1.24,3.5.1.74) 6.2.1.7 1.1.1.395 1.3.1.115 2.8.3.25 4.2.1.106 1.3.1.114 1.1.152
Isodeoxycholate	F97	Isodeoxycholate	Production	Secondary bile acid production	(3.5.1.24,3.5.1.74) 6.2.1.7 1.1.1.395 1.3.1.115 2.8.3.25 4.2.1.106 1.3.1.114 1.1.152 1.1.1.52 1.1.1.391
Isolithocholate	F98	Isolithocholate	Production	Secondary bile acid production	(3.5.1.24,3.5.1.74) 6.2.1.7 1.1.1.395 1.3.1.115 2.8.3.25 4.2.1.106 1.3.1.114 1.1.152 1.1.1.52 1.1.1.391
Serine	F99	Serine	Production	Amino acid production	K00058 K00831 (K01079,K02203,K22305,K25528)
Threonine	F100	Threonine	Production	Amino acid production	(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203) K01733
Cysteine	F101	Cysteine	Production	Amino acid production	(K00640,K23304) (K01738,K13034,K17069)
Cysteine	F102	Cysteine	Production	Amino acid production	(K01697,K10150) K01758
Cysteine	F103	Cysteine	Production	Amino acid production	K00789 K17462 K01243 K07173 K17216 K17217
Methionine	F104	Methionine	Production	Amino acid production	(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)
Valine	F105	Valine	Production	Amino acid production	(K01652+(K01653,K11258)) K00053 K01687 K00826
Isoleucine	F106	Isoleucine	Production	Amino acid production	(K01703+K01704) K00052
Isoleucine	F107	Isoleucine	Production	Amino acid production	(K17989,K01754) (K01652+(K01653,K11258)) K00053 K01687 K00826
Leucine	F108	Leucine	Production	Amino acid production	K01649 (K01702,(K01703+K01704)) K00052
Lysine	F109	Lysine	Production	Amino acid production	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267) K01439 K01778 (K01586,K12526)
Lysine	F110	Lysine	Production	Amino acid production	K00928 K00133 K01714 K00215 K05822 K00841 K05823 K01778 K01586
Lysine	F111	Lysine	Production	Amino acid production	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K03340 (K01586,K12526)
Lysine	F112	Lysine	Production	Amino acid production	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K10206 K01778 (K01586,K12526)
